Source,Target,Weight,nt_type_banc,type_pre,type_post,layer_mean_pre,layer_mean_post,across_hemi_layer_pre,across_hemi_layer_post
720575940635330204,720575940610358990,4,GABA,WV-WV-1,B1-2,2.631410256,2.448717949,,
720575940610638434,720575940630258003,1,Ach,B1-u,WED_pr02,2.230769231,3.403846154,,
720575940627263375,720575940639811469,13,Ach,B1-4,WV-WV-3,2.766025641,2.78525641,,2.675824176
720575940640507763,720575940620835327,20,GABA,WED_pr02,WV-WV-2,3.573717949,3.724358974,,
720575940600433181,720575940605214636,1,Ach,JO-B,WV-WV-3,,2.53525641,,
720575940626693894,720575940613311151,2,Ach,JO-B,B2,,2.298076923,,
720575940644319796,720575940613170498,6,GABA,AVLP_pr02,pMN2,4.46474359,5.314102564,3.774038462,5.352564103
720575940620758221,720575940634571383,8,Ach,B1-2,WV-WV-2,3.903846154,3.5,,
720575940602120928,720575940636471408,1,Ach,AVLP_pr36/asp10a-1,AVLP_pr36/asp10a-1,5.573717949,5.490384615,,
720575940618758753,720575940644968302,2,Ach,B1-2,AVLP_pr23,3.743589744,3.144230769,,3.192307692
720575940621043753,720575940625887631,4,Ach,B1-5,WED_pr02,3.147435897,3.516025641,,
720575940630277175,720575940605214636,2,Ach,B1-5,WV-WV-3,3.176282051,2.53525641,,
720575940619415679,720575940631179807,1,Ach,vpoEN,pC2lb,3.641025641,4.817307692,3.688301282,
720575940634299071,720575940637410394,2,GABA,WED_pr02,WED_pr02,3.243589744,3.147435897,,
