Id,Label,NT2026 (FAFB and BANC),layer_mean[z],Across-hemi_layer_mean
720575940624996359,pcC2lc,Ach,5.711538462,
720575940629211847,pcC2lc,Ach,5.480769231,
720575940629017591,pC2ld,Ach,5.91025641,5.91025641
720575940620356545,pC1d,Ach,5.689102564,5.790064103
720575940646518382,pC1d,Ach,5.891025641,
720575940618364480,pC1e,Ach,6.144230769,6.227564103
720575940634866586,pC1e,Ach,6.310897436,
720575940628244064,aPN3,GLUT,5.096153846,4.993589744
720575940603903264,aPN3,GLUT,4.576923077,
720575940616748756,aPN3,GLUT,5.038461538,
720575940625466387,aPN3,GLUT,5.041666667,
720575940626990086,aPN3,GLUT,5.147435897,
720575940615308729,aPN3,GLUT,4.791666667,
720575940623020263,aPN3,GLUT,5.051282051,
720575940615503249,aPN3,GLUT,5.041666667,
720575940618149336,aPN3,GLUT,4.974358974,
720575940621159181,aPN3,GLUT,5.176282051,
720575940618772719,aPN2,Ach,4.592948718,4.389880952
720575940620833974,aPN2,Ach,4.602564103,
720575940625597317,aPN2,Ach,4.759615385,
720575940627027087,aPN2,Ach,3.532051282,
720575940603930046,aPN2,Ach,4.307692308,
720575940630214564,aPN2,Ach,4.740384615,
720575940629394232,aPN2,Ach,4.996794872,
720575940606919602,aPN2,Ach,4.919871795,
720575940650920569,aPN2,Ach,4.666666667,
720575940614190242,aPN2,Ach,3.935897436,
720575940629552170,aPN2,Ach,3.288461538,
720575940624428728,JO-A,Ach,,
720575940620537435,JO-A,Ach,,
720575940608975371,JO-A,Ach,,
720575940642063245,JO-A,Ach,,
720575940627085199,JO-A,Ach,,
720575940614014614,JO-A,Ach,,
720575940634228124,JO-A,Ach,,
720575940643903904,JO-A,Ach,,
720575940622295585,JO-A,Ach,,
